Country,Code,Gender,Y2000,Y2005,Y2010,Y2012
"Korea, Rep.",KOR,males,61.5,57,53.3,51.7
Kosovo,KSV,males,5,5,5,5
Kuwait,KWT,males,5,5,5,5
Latin America & Caribbean (developing only),LAC,males,31.90651811,27.39580524,23.77202421,22.46237683
Lao PDR,LAO,males,74.2,67.6,61.7,59.8
Lebanon,LBN,males,35.4,38.3,41.7,43
Liberia,LBR,males,18.4,21,23.9,25.4
Libya,LBY,males,5,5,5,5
St. Lucia,LCA,males,5,5,5,5
Latin America & Caribbean (all income levels),LCN,males,33.62470733,29.00841101,25.25222996,23.91177641
Least developed countries: UN classification,LDC,males,42.40050394,37.24065906,33.06037972,5
Low income,LIC,males,5,5,5,5
Liechtenstein,LIE,males,5,5,5,5
Sri Lanka,LKA,males,31.5,30.2,29.3,28.8
Lower middle income,LMC,males,40.50314662,36.842485,34.2568202,33.57628127
Low & middle income,LMY,males,44.47835995,40.97661442,38.06194405,37.07285143
Lesotho,LSO,males,35.2,40.7,47.2,50.1
Lithuania,LTU,males,53.1,47.3,42.3,40.5
Luxembourg,LUX,males,34.3,31.1,28.4,27.4
Latvia,LVA,males,57.1,53.9,51.6,50.5
"Macao SAR, China",MAC,males,5,5,5,5
St. Martin (French part),MAF,males,5,5,5,5
Morocco,MAR,males,33.1,36.4,40.6,42.5
Monaco,MCO,males,5,5,5,5
Moldova,MDA,males,40.7,42.1,44.1,44.6
Madagascar,MDG,males,5,5,5,5
Maldives,MDV,males,5,5,5,5
Middle East & North Africa (all income levels),MEA,males,5,5,5,5
Mexico,MEX,males,36.6,30.2,25.1,23.3
Marshall Islands,MHL,males,5,5,5,5
Middle income,MIC,males,45.34282225,41.76541883,38.80337822,37.80239412
"Macedonia, FYR",MKD,males,5,5,5,5
Mali,MLI,males,20.6,24.9,30.3,32.6
Malta,MLT,males,38.8,35.4,32.5,31.5
Myanmar,MMR,males,56.6,46.4,38.3,35.2
Middle East & North Africa (developing only),MNA,males,5,5,5,5
Montenegro,MNE,males,5,5,5,5
Mongolia,MNG,males,56.9,53.6,50.3,49.3
Northern Mariana Islands,MNP,males,5,5,5,5
Mozambique,MOZ,males,42.7,38.5,34.8,33.4
Mauritania,MRT,males,23.9,29.2,35.8,38.9
Mauritius,MUS,males,46.6,44.1,42,41.3
Malawi,MWI,males,32.8,30,27.6,26.6
Malaysia,MYS,males,54.8,50,46.2,44.9
North America,NAC,males,27.87167873,24.71014087,21.88777128,20.84676737
Namibia,NAM,males,29.3,31.9,35.1,36.4
New Caledonia,NCL,males,5,5,5,5
Niger,NER,males,9,11.3,14.4,15.9
Nigeria,NGA,males,11.3,13,15,15.9
Nicaragua,NIC,males,5,5,5,5
Netherlands,NLD,males,36.7,32.7,29.4,27.5
High income: nonOECD,NOC,males,56.21537093,52.26276374,48.95733182,47.86891174
Norway,NOR,males,43.1,34.7,28,25.5
Nepal,NPL,males,45.6,42.5,39.7,38.7
New Zealand,NZL,males,5,5,5,5
High income: OECD,OEC,males,38.11707579,34.03361252,30.51917309,29.23876795
OECD members,OED,males,39.04668525,34.65026039,30.84527581,29.45951536
Oman,OMN,males,12.5,14.8,17.5,18.9
Other small states,OSS,males,5,5,5,5
Pakistan,PAK,males,37.4,38.5,40.2,40.6
Panama,PAN,males,25.5,18.9,14.1,12.5
Peru,PER,males,5,5,5,5
Philippines,PHL,males,59.1,53.2,47.6,45.8
Palau,PLW,males,5,5,5,5
Papua New Guinea,PNG,males,5,5,5,5
Poland,POL,males,46.9,41.1,36.5,34.9
Puerto Rico,PRI,males,5,5,5,5
"Korea, Dem. Rep.",PRK,males,5,5,5,5
Portugal,PRT,males,36.1,34.5,32.9,32.4
Paraguay,PRY,males,46.2,39,33.1,31.3
Pacific island small states,PSS,males,5,5,5,5
French Polynesia,PYF,males,5,5,5,5
Qatar,QAT,males,5,5,5,5
Romania,ROU,males,52.8,46.6,41.4,39.5
Russian Federation,RUS,males,67.2,64,61.2,60.3
Rwanda,RWA,males,5,5,5,5
South Asia,SAS,males,38.72060901,32.886367,28.29012739,26.8098623
Saudi Arabia,SAU,males,20.2,22.3,24.9,26.3
Sudan,SDN,males,5,5,5,5
Senegal,SEN,males,17.6,19.2,21.2,22.1
Singapore,SGP,males,27.4,27.5,27.6,27.7
Solomon Islands,SLB,males,5,5,5,5
Sierra Leone,SLE,males,40.1,45.6,52.1,55
El Salvador,SLV,males,5,5,5,5
San Marino,SMR,males,5,5,5,5
Somalia,SOM,males,5,5,5,5
Serbia,SRB,males,54.6,50.4,46.8,45.5
Sub-Saharan Africa (developing only),SSA,males,21.06068784,21.11751856,21.55909367,21.90596245
South Sudan,SSD,males,5,5,5,5
Sub-Saharan Africa (all income levels),SSF,males,21.06626879,21.12249382,21.56368731,21.91000126
Small states,SST,males,5,5,5,5
Sao Tome and Principe,STP,males,5,5,5,5
Suriname,SUR,males,5,5,5,5
Slovak Republic,SVK,males,46.2,43.7,41.4,40.7
Slovenia,SVN,males,29.9,27,24.6,23.6
Sweden,SWE,males,32.6,27.7,23.8,22.3
Swaziland,SWZ,males,15.9,16.8,17.8,18.2
Sint Maarten (Dutch part),SXM,males,5,5,5,5
Seychelles,SYC,males,48.1,46.2,44.8,44
Syrian Arab Republic,SYR,males,5,5,5,5
Turks and Caicos Islands,TCA,males,5,5,5,5
Chad,TCD,males,5,5,5,5
Togo,TGO,males,5,5,5,5
Thailand,THA,males,46.6,44.9,43.2,42.3
Tajikistan,TJK,males,5,5,5,5
Turkmenistan,TKM,males,5,5,5,5
Timor-Leste,TLS,males,5,5,5,5
Tonga,TON,males,54.4,51.8,49.3,48.4
Trinidad and Tobago,TTO,males,5,5,5,5
Tunisia,TUN,males,5,5,5,5
Turkey,TUR,males,58.7,51.5,45,42.7
Tuvalu,TUV,males,5,5,5,5
Tanzania,TZA,males,37.6,33.8,30.3,29.2
Uganda,UGA,males,27.5,23.1,19.3,18.1
Ukraine,UKR,males,60.2,56.4,52.6,51.4
Upper middle income,UMC,males,50.17541104,46.76324128,43.60094731,42.36048909
Uruguay,URY,males,48.1,39.6,32.3,30
United States,USA,males,27.7,24.7,22,21
Uzbekistan,UZB,males,30.1,28.1,26.5,25.9
St. Vincent and the Grenadines,VCT,males,5,5,5,5
"Venezuela, RB",VEN,males,5,5,5,5
Virgin Islands (U.S.),VIR,males,5,5,5,5
Vietnam,VNM,males,51.1,49.5,48.3,47.6
Vanuatu,VUT,males,5,5,5,5
West Bank and Gaza,PSE,males,5,5,5,5
World,WLD,males,43.79686754,40.21625841,37.23365423,36.21695882
Samoa,WSM,males,63.4,54.9,47.4,44.8
"Yemen, Rep.",YEM,males,5,5,5,5
South Africa,ZAF,males,35.3,33.9,32.5,32.1
"Congo, Dem. Rep.",COD,males,5,5,5,5
Zambia,ZMB,males,31,29.3,27.8,27.3
Zimbabwe,ZWE,males,33.5,32.5,31.8,31.5
